Region,Broad_Period,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,Population_Label
Carribean,Historical/Modern,0.02995897659574468,-0.0010082711170212766,-0.0010391855851063828,0.0012158049361702128,-0.0021068511914893616,-0.0008540763021276596,0.0006482363124468085,-1.7146245936170217e-05,0.011319707765957445,-0.00021780961276595743,0.0006260796308510639,-0.0021149459382978726,-0.003392675265957447,0.003846725669148936,0.0009827909010638298,Carribean | Historical/Modern
Native American,Iron-Age,-0.0024625985217391305,0.011027673913043478,-0.024382713043478263,0.0004647435695652174,0.004745160826086957,0.0024786605652173913,0.002246890304347826,0.0017091998565217392,-0.00024235203043478264,-0.0005170526086956522,-0.0010578397391304347,0.003054170434782609,-0.0017260903913043479,-0.0005271452173913044,-0.0006055735913043478,Native American | Iron-Age
Native American,Mesolithic,-0.002427065636363636,0.010269202727272726,-0.02251963272727273,0.0005255061545454546,0.004138937181818182,0.0027990418181818182,0.0004765441818181818,0.0033328906363636365,0.0003469862727272727,-0.004257929909090909,-0.00033573590909090914,-0.010006291636363636,0.009825187618181817,-0.0022108955454545453,-0.0017060068181818182,Native American | Mesolithic
Native American,Neolithic,-0.0012779439999999998,0.0060826407333333336,-0.013480105999999999,0.00020793982666666668,0.0023197628666666663,0.0012143471399999998,0.0021583140666666667,-0.0006771832833333334,-0.0006453352,0.0022904452,-0.0019764882466666665,0.008749858,-0.007202685466666667,-0.0017620912166666667,-0.0011898618733333333,Native American | Neolithic
Native American,Other,0.0007805995285882352,0.011054612727641177,0.005692286666705882,0.006106032895058823,-0.00019611654029411764,0.0018832846981764707,0.04412609452217647,-0.019226607085882353,-0.002578159952352941,0.011990615544588237,-0.007347845069470588,-0.010117655450647058,0.007493956731764706,0.0016861360495882354,0.0016551663625882353,Native American | Other
Nilotic,Historical/Modern,0.004364087107692307,-0.001023496486153846,0.0007276128076923078,-0.00011858395353846153,0.003055540953846154,-0.0004985274646153846,-0.0002968199698523077,0.00023155341732307693,-0.0015097007199999998,0.00025610710153846155,0.0017569105723076923,0.003865969969230769,0.009142509353846154,-0.008734458876923078,0.0015916882458461537,Nilotic | Historical/Modern
North African,Historical/Modern,0.004904694391304348,-0.005702839847826087,0.0020155183260869565,0.002222235863043478,0.010470764717391305,-0.00020167225869565216,0.0016221144217391304,0.0020655636086956523,0.003113152267391304,0.008526102195652174,0.013093621956521738,0.010950219130434782,0.017637025417391306,-0.019849873913043478,-0.008963482739130436,North African | Historical/Modern
North African,Iron-Age,-5.6540749999999996e-05,-0.0026872099999999998,0.0015512195000000001,0.000581192,0.00691693,-0.00131897,-0.001061045,-0.001130687,-0.00040516605,-0.0022407,-0.0025343755,0.005681495,0.01076193,-0.00289149,-0.0017199615,North African | Iron-Age
North African,Neolithic,0.000690067209090909,-0.0028901866636363636,0.001116772809090909,0.0023608262545454545,0.005901257818181818,0.0011672528272727272,0.0008091019363636363,0.0019929346363636367,0.0005962838090909091,0.005465292636363636,0.004862085545454546,0.005795951,0.008533203727272728,-0.013037685363636364,-0.0066998990909090915,North African | Neolithic
North African,Other,0.0003911586,-0.005271110000000001,0.001308912,0.0033631,0.007688548000000001,0.0011277912,0.0013915190000000001,0.0012689226,0.0010638598,0.006889761999999999,0.007331288,0.006514768,0.0033035160000000003,-0.010303864,-0.00665992,North African | Other
Northern European,Bronze-Age,-0.0015710984637630331,-0.0032162280674881516,-0.0005197600351990521,0.0007324676103227488,-0.005699369600947868,0.0009767851847345972,-4.583390497630331e-05,-0.000247537960436019,-0.00024460207559241705,-0.0036583619184834123,-0.0027069510794786728,-0.00028444541843601894,-0.0007130101266824645,0.0024074562924658767,0.0017158079843601897,Northern European | Bronze-Age
Northern European,Copper,-0.002207491268292683,-0.004378053048780488,-0.0008551070148780488,-0.000322726543902439,-0.0066725294146341456,-0.00016682078219512194,-0.0007503642975609756,-0.00387109556097561,-0.00035311753487804877,-0.007419643112195122,-0.004578135926829268,-0.000997710543902439,-0.0029663370487804878,0.0026656192658536582,0.0022844911097560975,Northern European | Copper
Northern European,Historical/Modern,-0.0024680570740742815,-0.004642051393875019,-0.0004503710558587325,0.0006229906879827561,-0.005322128644238762,0.0005109871422324981,0.0011846639982505526,-0.0006552203145431099,0.0008932682399697862,0.0006389016405568165,0.007930240075744804,-0.002120351485058762,-0.003770848724291083,0.002717068202649742,0.0020185070793512895,Northern European | Historical/Modern
Northern European,Iron-Age,-0.0019080506694130433,-0.0031957490789855073,0.00016657964404347828,0.0009842269634082125,-0.003807526126352657,0.00024014078007729469,-0.0003345215401449275,-0.0018856201106256037,-8.452537905314011e-05,-0.005519106788574879,-0.002779830555748792,-0.001455200978888889,-0.003291552448550725,0.003482870576811594,0.0027347391582125606,Northern European | Iron-Age
Northern European,Mesolithic,-0.0027092508043478265,-0.004407757304347826,-0.0028086408760869567,0.0048950703260869565,-0.029247206086956523,0.010057148673913044,0.0035581099565217393,0.016544347891304347,-0.0014156751804347827,0.0037199417673913046,-0.010672418958695652,0.010327460747826088,0.014178207017391304,-0.006506115506521739,-0.004629480167391304,Northern European | Mesolithic
Northern European,Neolithic,-0.002134693526510067,-0.00533775500671141,0.0008210769148758389,0.0064214839979865775,0.00033420753097315433,0.0046022304667785235,0.0006633463761845637,0.007035011706375838,-0.0002583329414463087,0.0042984787463087246,-0.0032795449687919465,-0.0023672516948657716,-0.0024685936767785237,-0.0019934520818791946,-0.0012627302654362414,Northern European | Neolithic
Northern European,Other,-0.0022516936041666667,-0.004182023666666667,-0.0007017574806250001,0.0006292804083333333,-0.006763495758750001,0.0005640125449999999,0.0010996553458333333,-0.0010819224583333332,0.00065165385,-0.000831709075,0.00523735237875,-0.0015684942904166665,-0.003326654025,0.0017077172333333334,0.0010758669916666667,Northern European | Other
Oceanian,Bronze-Age,-0.0001763589625,0.002037150175,0.0013667645375,0.001092192025,2.644379375e-05,0.00029625849,0.00536492625,-0.002537794275,-0.00037583313875,0.001520428365,-0.00100169095,0.0017710626500000001,-0.0011036633875,-0.0010012254875000001,-0.000603892425,Oceanian | Bronze-Age
Oceanian,Historical/Modern,0.00043024008073394495,0.011286075394495412,0.012704048752293577,-0.028715681174311926,0.0064014735963302755,0.06917580422018349,-0.013032317513761469,-0.018993015651376146,0.0039750447253211005,0.002472399988990826,0.004050734948623853,0.0007802566697247707,0.0030923613642201836,0.004862636298165138,0.0033464250477431194,Oceanian | Historical/Modern
Oceanian,Iron-Age,6.9453065e-05,0.0018376195,0.0018535685,-0.00300940175,0.00064707535,0.00783247175,0.00038847125000000013,-0.00344491125,0.000212655325,0.00176539,-0.000160883725,0.00155809475,-0.000179555075,-0.000399446075,0.000160406075,Oceanian | Iron-Age
Oceanian,Other,0.0007578645,0.0114165,0.0126862,-0.03250775,0.0065237,0.06661495,-0.01731945,-0.01268675,0.003754055,0.0038697,0.00183328,-0.0025497899999999997,0.000694904,0.00334169,0.002635925,Oceanian | Other
Other,Historical/Modern,-0.0016651084594594594,0.005790147837837838,0.006907243783783784,-0.026725675675675676,0.0032780262162162162,-0.005647841893243243,0.004780523810810811,0.022751324324324324,7.60176535135135e-05,0.008339697837837839,-0.010043042702702704,-0.009674296486486487,-0.013940064324324325,-0.007507813621621622,-0.0011476799702702704,Other | Historical/Modern
Other,Iron-Age,-0.002314826,0.01728343,0.0117831,0.0001903194,0.00039663249999999996,-0.003140396,-0.005224079,0.01258002,0.0009448753000000001,-0.002440832,0.0003688357,0.002725155,-0.007920323,-0.002975259,-0.00032010956999999995,Other | Iron-Age
